Designator,Mid X,Mid Y,Layer,Rotation
+3V3,43.13,66.36,Top,0.0
+5V,26.49,63.09,Top,180.0
AUDIO_JACK,92.58, 6.97,Top,270.0
BATTERIE1, 5.06,64.63,Top,90.0
BATTERIE2, 5.06,72.25,Top,90.0
BATTERYCHARGER, 9.27,48.47,Top,270.0
BOOT,67.65,75.45,Top,180.0
BUZZER,46.71,46.76,Top,0.0
C1,91.47,50.07,Top,180.0
C2,56.05,71.39,Top,0.0
C6,65.29,58.74,Top,180.0
C7,15.07,70.14,Top,270.0
C8,58.75,49.59,Top,0.0
C9,57.51,46.41,Top,270.0
C10,59.71,59.12,Top,180.0
C11,59.71,52.77,Top,180.0
C12,17.01,32.37,Top,270.0
C13,77.36,55.88,Top,0.0
C14,77.36,46.99,Top,0.0
C15,80.34,11.15,Top,0.0
C18,22.25,70.05,Top,180.0
C19,22.25,65.28,Top,180.0
C26,65.29,56.52,Top,180.0
CAUX,32.70,52.39,Top,270.0
CIN,25.08,46.99,Top,180.0
COUT,25.08,60.64,Top,180.0
COUTX,25.08,58.42,Top,180.0
C_H-BRIDGE,27.42,20.30,Top,0.0
D1,44.45,55.56,Top,90.0
D2,18.91,33.01,Top,90.0
D3,20.82,36.82,Top,90.0
D4,20.82,39.04,Top,90.0
DISPLAY,15.00,57.50,Top,270.0
D_H-BRIDGE1,21.79,25.58,Top,0.0
D_H-BRIDGE2,19.17,22.73,Top,0.0
GND, 6.01,68.44,Top,0.0
H-BRUECKE,15.44,14.15,Top,180.0
IC2,29.24,67.51,Top,270.0
JP1,83.19, 5.43,Top,270.0
JP2,97.59,68.07,Bottom,270.0
L1,20.29,53.70,Top,90.0
LED1,87.00,76.84,Top,0.0
LED2,85.41,76.84,Top,0.0
LED3,83.82,76.84,Top,0.0
LED4,82.23,76.84,Top,0.0
LED_CHARGE_GREEN, 9.27,53.23,Top,270.0
LED_CHARGE_RED, 5.46,51.96,Top,270.0
LED_INDICATOR,79.06,76.84,Top,0.0
LED_LEFT,55.58,33.77,Top,0.0
LED_MIDDLE,64.47,33.77,Top,0.0
LED_RIGHT,73.36,33.77,Top,0.0
LEFT,48.60,20.43,Top,180.0
MOTOR, 5.52,23.04,Top,270.0
N-CHANNEL,12.44,52.28,Top,0.0
NPN,47.41,55.53,Top,0.0
ON/OFF,33.02,41.27,Top,180.0
OPV,68.59, 7.97,Top,0.0
P-CHANNEL, 5.66,59.39,Top,90.0
POWER_LED,96.52,50.16,Top,90.0
QUARTZ,62.88,47.69,Top,90.0
QUARTZ2,60.98,55.94,Top,90.0
R1,96.52,48.26,Top,0.0
R2,60.18,71.39,Top,180.0
R3,65.72,71.39,Top,0.0
R4,69.85,71.39,Top,0.0
R5,77.15,76.84,Top,90.0
R6,12.13,48.15,Top,270.0
R7, 4.19,48.15,Top,90.0
R8, 6.41,48.15,Top,90.0
R9,10.63,66.01,Top,270.0
R10,12.85,66.01,Top,90.0
R11, 8.83,59.39,Top,270.0
R12,59.73,46.41,Top,90.0
R13,22.25,41.42,Top,0.0
R14,78.42,64.14,Top,0.0
R15, 3.16,68.44,Top,0.0
R16,74.62,11.15,Top,0.0
R17,39.52,66.38,Top,0.0
R18,66.99, 2.22,Top,180.0
R19,14.35,48.15,Top,270.0
R20,12.85,70.14,Top,90.0
R21,10.63,70.14,Top,270.0
R22,78.42,66.67,Top,0.0
R23,78.42,69.22,Top,0.0
R24,78.42,71.76,Top,0.0
R25,17.96,39.36,Top,180.0
R26,17.96,37.14,Top,180.0
R27,71.12, 2.24,Top,0.0
R28,50.42,55.38,Top,270.0
R29,15.07,66.01,Top,270.0
R30,55.39,29.32,Top,180.0
R31,73.17,29.32,Top,180.0
R32,64.27,29.32,Top,180.0
R33,47.76,27.56,Top,180.0
R34,42.10,55.70,Top,90.0
R35,68.81,29.18,Top,0.0
R36,49.76,29.82,Top,0.0
R37,58.75,55.94,Top,90.0
RENABLE,32.48,47.44,Top,180.0
RESET,57.96,75.52,Top,0.0
RFBB,32.93,58.29,Top,90.0
RFBT,30.39,58.29,Top,90.0
RIGHT,64.47,20.43,Top,180.0
RPGOOD,35.47,59.87,Top,90.0
SCHOTTKY1, 7.76,56.22,Top,0.0
SELECT,80.35,20.43,Top,180.0
SIGNAL_IN,83.83,11.15,Top,0.0
SIGNAL_OPAMP,73.98, 1.94,Top,0.0
STM32,71.06,51.35,Top,0.0
ST_LINK,97.64,56.39,Top,270.0
TRIMMER,77.16, 5.43,Top,180.0
U1,28.80,53.84,Top,180.0
USB-B, 9.20,36.82,Top,270.0
VBAT, 7.92,68.44,Top,0.0
VBUS,22.09,33.33,Top,0.0
